y rho
0 0.00064317
0.000155477 0.00064317
0.000310954 0.00064317
0.000466431 0.00064317
0.000621908 0.00064317
0.000777385 0.00064317
0.000932862 0.00064317
0.00108834 0.00064317
0.00124382 0.00064317
0.00139929 0.00064317
0.00155477 0.00064317
0.00171025 0.00064317
0.00186572 0.00064317
0.0020212 0.00064317
0.00217668 0.00064317
0.00233216 0.00064317
0.00248763 0.00064317
0.00264311 0.00064317
0.00279859 0.000643171
0.00295406 0.000643174
0.00310954 0.000643184
0.00326502 0.000643217
0.00342049 0.000643324
0.00357597 0.000643673
0.00373145 0.000644808
0.00388693 0.000648486
0.0040424 0.000660382
0.00419788 0.000698415
0.00435336 0.000812535
0.00450883 0.0011038
0.00466431 0.00166748
0.00481979 0.00243187
0.00497526 0.00315124
0.00513074 0.00364782
0.00528622 0.00392435
0.0054417 0.00406045
0.00559717 0.0041234
0.00575265 0.00415168
0.00590813 0.00416421
0.0060636 0.00416974
0.00621908 0.00417217
0.00637456 0.00417323
0.00653004 0.0041737
0.00668551 0.00417391
0.00684099 0.004174
0.00699647 0.00417404
0.00715194 0.00417405
0.00730742 0.00417406
0.0074629 0.00417406
0.00761837 0.00417407
0.00777385 0.00417407
0.00792933 0.00417407
0.00808481 0.00417407
0.00824028 0.00417407
0.00839576 0.00417407
0.00855124 0.00417407
0.00870671 0.00417407
0.00886219 0.00417407
0.00901767 0.00417407
0.00917314 0.00417407
0.00932862 0.00417407
0.0094841 0.00417407
